"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Handelsverband Deutschland",Germany,500000,1,3.75,20,2009-05-27
"LNG Allies","United States",500000,0,1.5,2,2019-05-02
"Slovenian Business and Research Association",Belgium,500000,0,1.5,5,2015-07-14
"APPLiA (Home Appliance Europe)",Belgium,"400000 - 499999",1,14,24,2010-05-21
"ARD-Verbindungsbüro Brüssel",Belgium,"400000 - 499999",2,3.75,33,2009-01-06
ASD-STAN,Belgium,"400000 - 499999",0,2.75,0,2018-06-07
"Aerospace Industries Association (AIA)","United States","400000 - 499999",0,1.5,0,2018-09-05
"Asociación Española de Banca",Spain,"400000 - 499999",1,5,7,2015-02-18
"Asociación Nacional de Armadores de Buques Atuneros Congeladores",Spain,"400000 - 499999",0,0.5,0,2018-09-21
"Association Internationale de la Savonnerie, de la Détergence et des Produits d'Entretien",Belgium,"400000 - 499999",1,2,7,2009-01-22
"Association de l'Aviculture, de l'Industrie et du Commerce de Volailles dans les Pays de l'Union Europeenne asbl",Belgium,"400000 - 499999",2,2.75,18,2008-12-29
"Associazione Italiana Private Banking",Italy,"400000 - 499999",0,1,0,2020-05-18
"Associazione Nazionale Industria dell'Autonoleggio e Servizi Automobilistici",Italy,"400000 - 499999",0,2.5,0,2016-10-28
"British Medical Association","United Kingdom","400000 - 499999",1,2,2,2009-07-28
"Bundesverband Leichtbeton e.V.",Germany,"400000 - 499999",0,0.25,0,2012-03-27
"CANSO - Civil Air Navigation Services Organisation",Netherlands,"400000 - 499999",0,3,14,2012-05-25
"CEMBUREAU - The European Cement Association",Belgium,"400000 - 499999",6,4,27,2011-06-24
"CONSIGLIO NAZIONALE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI",Italy,"400000 - 499999",0,1.5,0,2014-11-21
Cerame-Unie,Belgium,"400000 - 499999",0,4.5,22,2011-01-11
"Computer & Communications Industry Association","United States","400000 - 499999",0,4,47,2011-09-01
"Confederation of Finnish Industries EK",Finland,"400000 - 499999",1,3,70,2008-12-22
"Council of Bars and Law Societies of Europe",Belgium,"400000 - 499999",3,2,6,2008-11-06
"Danish Dairy Board Brussels s.a.",Denmark,"400000 - 499999",1,3,2,2010-03-23
"Danish Shipping",Denmark,"400000 - 499999",3,6,12,2008-11-05
"Danske Maritime",Denmark,"400000 - 499999",0,2.75,0,2008-11-20
"EU Association of Specialty Feed Ingredients and their Mixtures",Belgium,"400000 - 499999",0,5,2,2011-06-28
"EU-Malaysian Chamber of Commerce & Industry",Malaysia,"400000 - 499999",0,9.75,1,2017-10-25
"EUROGAS aisbl",Belgium,"400000 - 499999",5,2.5,42,2011-07-01
"EUROPEAN BUSINESS AVIATION ASSOCIATION",Belgium,"400000 - 499999",2,3.75,7,2014-03-28
"Ecommerce Europe",Belgium,"400000 - 499999",0,4.75,17,2013-06-25
