"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Stenström Consulting",Belgium,"100000 - 199999",1,3.75,0,2015-06-16
"Sweeney Consulting",Ireland,"100000 - 199999",1,2,0,2017-03-13
"The Brattle Group Limited","United Kingdom","100000 - 199999",0,3.25,1,2016-03-11
"The Resilience Advisors Network","United Kingdom","100000 - 199999",0,6.75,0,2018-10-12
"Valore Consulting",Italy,"100000 - 199999",0,5,0,2016-11-17
"Vision Consultancy 2000 SL",Spain,"100000 - 199999",0,1,0,2017-01-30
"Vivat Limited","United Kingdom","100000 - 199999",0,1.75,0,2020-02-13
"Von Batten-Montague-York, L.C.","United States","100000 - 199999",0,0.5,0,2020-11-23
"Westphalia Global Advisory",Netherlands,"100000 - 199999",0,2,0,2018-12-19
"ZAY STRATEGY PUBLIC AFFAIRS CONSULTANCY",Turkey,"100000 - 199999",0,5,0,2018-08-08
"friedrich30 GmbH & Co. KG",Germany,"100000 - 199999",0,1,1,2017-11-13
"PROGETTISTI EUROPEI ASSOCIATI",Belgium,150000,0,2.5,0,2018-07-26
"AB Corporation",Belgium,"50000 - 99999",0,2,0,2019-11-14
"Acento Public Affairs S.L",Spain,"50000 - 99999",1,1.25,0,2020-10-22
"Advanced Mineral and Recycling Industrial Solutions P.C.",Greece,"50000 - 99999",0,5,0,2017-01-24
AxHA,Belgium,"50000 - 99999",1,2,0,2018-12-28
"BIONTINO EUROPE",Belgium,"50000 - 99999",0,2,5,2011-11-23
"BSH advisors",Austria,"50000 - 99999",0,1.25,1,2017-10-11
"Biotech Consultants Ltd.","United Kingdom","50000 - 99999",0,3.25,0,2012-12-07
"Brucovie Consult sprl",Belgium,"50000 - 99999",0,0.75,0,2012-05-23
"C8 Associates Ltd","United Kingdom","50000 - 99999",0,1.25,0,2012-04-30
CEBiz,Belgium,"50000 - 99999",2,2,0,2018-01-03
"CHOOSE TOTAL COMMUNICATION SOCIETE ANONYME",Greece,"50000 - 99999",0,3.25,0,2019-10-04
"Centaur Consulting","United Kingdom","50000 - 99999",0,2,0,2017-04-19
"Climate Strategy & Partners",Spain,"50000 - 99999",0,0.25,6,2012-03-07
"Collider Health","United Kingdom","50000 - 99999",0,1,0,2020-05-27
"Cullen International",Belgium,"50000 - 99999",1,3.25,0,2011-09-07
"Customs Connect Belgium Branch","United Kingdom","50000 - 99999",0,0.5,0,2017-10-11
"D&D Consulting Services",Belgium,"50000 - 99999",0,1.75,0,2011-12-26
"Deloitte & Touche S.p.A.",Italy,"50000 - 99999",0,0.5,2,2015-05-29
"Deloitte GmbH Wirtschaftsprüfungsgesellschaft",Germany,"50000 - 99999",1,1,2,2015-05-06
"Deloitte LLP","United Kingdom","50000 - 99999",0,0.25,6,2010-10-28
"Deloitte Tax & Consulting",Luxembourg,"50000 - 99999",0,0.5,1,2018-11-13
E+Europe,Belgium,"50000 - 99999",0,1.5,4,2016-07-18
"ESL & NETWORK EUROPEAN AFFAIRS SA",Belgium,"50000 - 99999",1,1.5,2,2010-06-09
"EU TEAM LTD","United Kingdom","50000 - 99999",0,2,0,2017-04-14
"EuroNavigator Ltd",Croatia,"50000 - 99999",0,4,1,2018-11-07
Europartners.,Belgium,"50000 - 99999",2,3.5,1,2017-05-12
Euventures,Germany,"50000 - 99999",0,2,0,2011-11-17
FB&Associati,Italy,"50000 - 99999",0,2.25,1,2012-10-09
"FEDERATION OF MALTESE AQUACULTURE PRODUCERS",Malta,"50000 - 99999",0,1.75,0,2018-09-26
"Falk Beratung GmbH",Germany,"50000 - 99999",0,4.25,0,2020-08-13
"Gibbels Public Affairs",Belgium,"50000 - 99999",2,1,0,2013-09-10
"Gruppo SICURFORM S.r.l",Italy,"50000 - 99999",0,1.25,0,2017-09-02
"HBA Partners Public Affairs",Spain,"50000 - 99999",0,1.5,0,2018-03-12
"Health Tourism Industry",Croatia,"50000 - 99999",0,4,0,2019-03-22
"Hekla Communications","United Kingdom","50000 - 99999",0,1.75,0,2020-12-08
"Hermes Bay srl",Italy,"50000 - 99999",0,0.75,0,2020-06-03
"IDO Interessenverband für das Rechts- und Finanzconsulting deutscher Online-Unternehmen e.V.",Germany,"50000 - 99999",0,7,0,2015-08-22
"JPQ Consultores Lda.",Portugal,"50000 - 99999",0,1,0,2018-06-08
"KDC Group",Belgium,"50000 - 99999",0,1.25,1,2009-06-22
"Kereon AG",Switzerland,"50000 - 99999",0,0.75,0,2017-12-21
Lumina,Belgium,"50000 - 99999",0,1,0,2011-05-23
MISSAGLIAEASSOCIATI,Italy,"50000 - 99999",0,0.5,0,2008-07-02
"Mangold Consulting GmbH",Germany,"50000 - 99999",0,0.75,0,2018-04-20
"NIVIERE SUBVENTIONS & CONSULTING",France,"50000 - 99999",0,1,0,2020-06-22
PA-Solutions,Belgium,"50000 - 99999",0,0.5,0,2019-09-17
POLYDEA,France,"50000 - 99999",0,2.5,0,2017-10-30
"PONTON GmbH",Germany,"50000 - 99999",0,3.5,0,2020-10-21
"PRESTOMEDIA S.L.",Spain,"50000 - 99999",0,1.5,4,2014-07-16
"Pangea Public Affairs",Belgium,"50000 - 99999",0,0.5,0,2017-11-03
Parity,Belgium,"50000 - 99999",0,1,0,2020-05-11
"PaySys Consultancy GmbH",Germany,"50000 - 99999",0,0.25,0,2012-08-14
"ProductIP BV",Netherlands,"50000 - 99999",0,0.75,1,2015-11-30
"Project Associates","United Kingdom","50000 - 99999",2,2.25,0,2020-09-02
