"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Allianz SE",Germany,"1000000 - 1249999",3,3.75,19,2009-07-03
"American Chamber of Commerce to the European Union",Belgium,"1000000 - 1249999",8,9.75,151,2008-10-14
"Amgen Inc","United States","1000000 - 1249999",0,2.5,1,2011-02-07
"Assembly of European Regions",France,"1000000 - 1249999",3,8.5,20,2014-02-26
"Association Française de la Gestion financière",France,"1000000 - 1249999",3,6.5,13,2008-07-10
"Association Française des Entreprises Privées / French Association of Large Companies",France,"1000000 - 1249999",6,5.25,35,2008-06-30
"Association of Cities and Regions for sustainable Resource management",Belgium,"1000000 - 1249999",1,13.5,0,2014-12-22
"Association of European Border Regions",Germany,"1000000 - 1249999",0,10.75,2,2015-10-22
"Associazione Intermediari Mercati Finanziari - ASSOSIM",Italy,"1000000 - 1249999",0,4.5,0,2013-07-10
"Associazione Volontari Italiani del Sangue Sede Nazionale",Italy,"1000000 - 1249999",0,1,1,2015-09-28
"Autorità di Sistema portuale del Mar Tirreno Settentrionale",Italy,"1000000 - 1249999",0,3,0,2019-01-30
"Avisa Partners",Belgium,"1000000 - 1249999",5,13,41,2009-05-07
"Bankia S.A.",Spain,"1000000 - 1249999",0,1.75,0,2017-06-08
"Bay Zoltan Nonprofit Ltd for Applied Research",Hungary,"1000000 - 1249999",0,2.5,0,2019-01-08
"Belgian Feed Association",Belgium,"1000000 - 1249999",0,9,0,2017-12-26
"BirdLife Suomi - BirdLife Finland",Finland,"1000000 - 1249999",0,0.25,5,2015-02-06
"British Council","United Kingdom","1000000 - 1249999",0,11,12,2012-06-19
"Buildings Performance Institute Europe, BPIE ASBL",Belgium,"1000000 - 1249999",2,19,4,2013-01-25
"Bundesinnungsverband für Orthopädie-Technik",Germany,"1000000 - 1249999",0,1,1,2019-09-10
"Buurtsuper.be, de UNIZO organisatie van zelfstandige supermarkten",Belgium,"1000000 - 1249999",0,1.25,0,2019-05-20
"CARES srcl - Osservatorio di Pavia",Italy,"1000000 - 1249999",0,3.5,0,2017-12-07
"Caritas Europa",Belgium,"1000000 - 1249999",5,19,24,2009-01-06
"Cisco Systems Inc.","United States","1000000 - 1249999",0,3.75,59,2014-12-08
ClearVAT,Germany,"1000000 - 1249999",0,21.25,1,2018-06-12
"Commerzbank AG",Germany,"1000000 - 1249999",0,5.5,31,2010-01-18
"Community of European Railway and Infrastructure Companies",Belgium,"1000000 - 1249999",14,5.5,47,2008-07-02
"Confederation of Danish Industry",Denmark,"1000000 - 1249999",4,6.5,31,2008-09-22
"Confederation of Swedish Enterprise",Sweden,"1000000 - 1249999",1,5,29,2011-12-22
"Conference of Peripheral Maritime Regions (CRPM)",France,"1000000 - 1249999",4,13,26,2008-11-28
"Confédération générale des Scop",France,"1000000 - 1249999",0,15,1,2018-05-17
"Conseil des Notariats de l'Union Européenne",Belgium,"1000000 - 1249999",5,7.5,4,2011-08-26
"Cooperatie Kottervisserij Nederland (VisNed)",Netherlands,"1000000 - 1249999",0,8.75,3,2014-05-12
"Coordinamento delle associazioni e dei comitati di tutela dell’ambiente e dei diritti degli utenti e dei consumatori",Italy,"1000000 - 1249999",0,0.25,1,2016-03-14
"Council of European Energy Regulators",Belgium,"1000000 - 1249999",2,8.25,9,2011-10-25
"Covington & Burling LLP","United States","1000000 - 1249999",1,11.75,11,2015-05-15
"DIRECCIÓN DE ENERGÍA (COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA)",Spain,"1000000 - 1249999",0,10,0,2017-07-06
"DIRECCIÓN GENERAL DE CALIDAD AMBIENTAL Y RECURSOS HIDRICOS",Spain,"1000000 - 1249999",0,25,0,2019-06-19
"Dipartimento di Epidemiologia",Italy,"1000000 - 1249999",0,21.5,0,2015-12-28
"Dods Group PLC","United Kingdom","1000000 - 1249999",5,15.75,0,2011-08-09
"ELLINIKOS XRIMATOIKONOMIKOS MESOLAVITIS - ASTIKI MI KERDOSKOPIKI ETERIA ENALLAKTIKIS EPILISIS DIAFORON",Greece,"1000000 - 1249999",0,7,0,2016-09-22
EURALIA,Belgium,"1000000 - 1249999",0,9.5,1,2009-12-31
EUROALLIAGES,Belgium,"1000000 - 1249999",1,4,12,2011-03-17
"EUROPEAN TRADE UNION CONFEDERATION",Belgium,"1000000 - 1249999",3,22.25,195,2009-02-02
"EVONIK INDUSTRIES AG",Germany,"1000000 - 1249999",8,4.25,6,2008-12-23
"Elettra - Sincrotrone Trieste S.C.p.A.",Italy,"1000000 - 1249999",0,10.5,0,2012-10-18
"Employers of Poland",Poland,"1000000 - 1249999",0,0.75,0,2020-07-24
"Erasmus Student Network",Belgium,"1000000 - 1249999",0,18.5,2,2010-01-14
"European Association Automotive Suppliers",Belgium,"1000000 - 1249999",1,5.25,50,2011-05-06
"European Association for Quality Assurance in Higher Education",Belgium,"1000000 - 1249999",0,5.75,0,2014-05-21
"European Chamber of Commerce in Korea","South Korea","1000000 - 1249999",0,1.25,12,2015-09-22
"European Disability Forum",Belgium,"1000000 - 1249999",8,14,30,2010-07-19
"European Festivals Association",Belgium,"1000000 - 1249999",0,3.5,11,2015-03-04
"European Health Forum Gastein",Austria,"1000000 - 1249999",0,6,8,2014-05-28
"European Network of National Human Rights Institutions",Belgium,"1000000 - 1249999",0,14,3,2015-05-19
"European Science Foundation",France,"1000000 - 1249999",0,10.75,4,2016-09-16
"European Telecommunications Network Operators' Association",Belgium,"1000000 - 1249999",1,3.75,74,2009-06-26
"European Telecommunications Standards Institute",France,"1000000 - 1249999",0,4.25,6,2015-03-09
"European agri-cooperatives",Belgium,"1000000 - 1249999",2,18,127,2009-02-25
"European farmers",Belgium,"1000000 - 1249999",1,18,149,2009-02-25
"Europäisches Zentrum für Presse- und Medienfreiheit",Germany,"1000000 - 1249999",0,10.25,7,2017-12-14
Euroseeds,Belgium,"1000000 - 1249999",1,10.75,6,2012-04-16
"F&A Manager",Belgium,"1000000 - 1249999",0,5.5,3,2009-08-19
"FERROVIAL CONSTRUCCION S.A.",Spain,"1000000 - 1249999",0,11,0,2014-01-31
"FOUNDATION FOR RESEARCH AND TECHNOLOGY - HELLAS",Greece,"1000000 - 1249999",0,7.25,0,2019-09-17
"FUNDACION TOMILLO",Spain,"1000000 - 1249999",0,6,0,2018-05-29
Federbeton,Italy,"1000000 - 1249999",0,15,0,2020-10-28
"Finnish Energy - Energiateollisuus ry",Finland,"1000000 - 1249999",0,7.25,21,2009-06-26
"Frequentis AG",Austria,"1000000 - 1249999",0,1.25,0,2014-02-12
"Fundació Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol",Spain,"1000000 - 1249999",0,8,0,2016-11-09
"Fédération Internationale de l'Automobile",France,"1000000 - 1249999",2,2.75,32,2011-02-22
"G Plus Ltd (t/a Portland)","United Kingdom","1000000 - 1249999",6,21.25,44,2008-12-15
"GSMA Europe","United Kingdom","1000000 - 1249999",0,6.75,56,2011-12-22
"Granta Design Ltd","United Kingdom","1000000 - 1249999",0,10,0,2016-09-19
"Greater Copenhagen EU Office",Denmark,"1000000 - 1249999",0,15,4,2009-08-04
"GroentenFruit Huis",Netherlands,"1000000 - 1249999",0,0.25,0,2018-03-28
"Hitachi Corporate Office, Europe",Japan,"1000000 - 1249999",1,5,11,2009-04-24
"IFPI Representing recording industry worldwide","United Kingdom","1000000 - 1249999",8,8.5,65,2009-06-29
"INOVYN ChlorVinyls","United Kingdom","1000000 - 1249999",0,4,0,2015-07-03
"ITTI Sp. z o.o.",Poland,"1000000 - 1249999",0,23,0,2015-12-03
"Inserm Transfert",France,"1000000 - 1249999",0,17.25,0,2017-03-22
"Instinctif Partners","United Kingdom","1000000 - 1249999",5,9,0,2011-01-06
"Institut für Weltwirtschaft",Germany,"1000000 - 1249999",0,6.75,0,2015-06-11
"International Council on Clean Transportation","United States","1000000 - 1249999",0,9,10,2010-12-14
"International Step by Step Association",Netherlands,"1000000 - 1249999",0,6.5,0,2018-11-05
"International Union for Conservation of Nature EU Representative Office",Belgium,"1000000 - 1249999",0,12,29,2012-04-03
"Invest Europe",Belgium,"1000000 - 1249999",5,3,15,2009-04-28
"Italian National Agency for New Technologies, Energy and Sustainable Economic Development",Italy,"1000000 - 1249999",6,5,0,2012-11-28
"Jesuit Refugee Service - Europe",Belgium,"1000000 - 1249999",0,2.5,0,2016-12-05
"Johnson & Johnson","United States","1000000 - 1249999",7,5,10,2009-03-06
"KfW Bankengruppe",Germany,"1000000 - 1249999",3,5.5,60,2012-09-25
"LVMH Publica",Belgium,"1000000 - 1249999",2,2.75,33,2009-09-22
"Leibniz Institute of Ecological Urban and Regional Development",Germany,"1000000 - 1249999",0,8.25,0,2012-08-16
"Liberty Global BV",Netherlands,"1000000 - 1249999",3,2.5,32,2012-02-02
"Montanuniversitaet Leoben",Austria,"1000000 - 1249999",0,21.25,0,2016-09-02
"Mémorial de la Shoah",France,"1000000 - 1249999",0,3.75,0,2017-04-07
NATIXIS,France,"1000000 - 1249999",0,2.5,4,2017-12-22
"Observatoire social européen, asbl",Belgium,"1000000 - 1249999",0,12,2,2015-07-28
"Organisation de Producteurs ""FROM Nord""",France,"1000000 - 1249999",0,8.75,0,2016-09-27
PROVACUNO,Spain,"1000000 - 1249999",0,3.5,0,2020-09-09
"Pen & Tec Consulting SLU",Spain,"1000000 - 1249999",0,20.25,0,2017-10-24
"Platform for International Cooperation on Undocumented Migrants",Belgium,"1000000 - 1249999",10,10,8,2010-07-08
"Pro-tukipiste ry",Finland,"1000000 - 1249999",0,0.75,0,2017-02-16
"Qualcomm Communications SARL",France,"1000000 - 1249999",0,2,1,2019-07-26
RESCOLL,France,"1000000 - 1249999",0,0.5,0,2016-03-09
"RINA CONSULTING-Centro Sviluppo Materiali",Italy,"1000000 - 1249999",0,10,0,2016-12-02
"RWE AG",Germany,"1000000 - 1249999",1,6,25,2010-04-15
"Risk Control Limited","United Kingdom","1000000 - 1249999",0,0.25,0,2017-11-23
"Robert Bosch GmbH",Germany,"1000000 - 1249999",1,8.5,42,2008-10-24
"Royal Automobile Club Spa",Belgium,"1000000 - 1249999",0,0.25,0,2017-10-17
"Rud Pedersen Public Affairs",Belgium,"1000000 - 1249999",4,17,9,2017-05-15
SANOFI,France,"1000000 - 1249999",0,2.75,17,2009-12-11
SAP,Germany,"1000000 - 1249999",0,3.75,29,2013-07-22
"STARCH EUROPE",Belgium,"1000000 - 1249999",1,7,11,2011-09-01
"STTK ry",Finland,"1000000 - 1249999",0,14,5,2016-12-20
"Seas At Risk",Belgium,"1000000 - 1249999",1,11,8,2020-09-09
"Shungham Information (FiscalNote Europe)","United States","1000000 - 1249999",15,15.5,0,2011-11-19
"Stichting De Noordzee",Netherlands,"1000000 - 1249999",0,9,1,2019-10-07
"Stichting Solidaridad Nederland",Netherlands,"1000000 - 1249999",0,31,0,2020-10-22
"Stowarzyszenie Producentów Ryb Łososiowatych/Polish Trout Breeders Association",Poland,"1000000 - 1249999",0,5.5,0,2009-09-26
"Suomen Ylioppilaskuntien Liitto SYL ry",Finland,"1000000 - 1249999",0,1.75,0,2018-06-19
"Suomen itsenäisyyden juhlarahasto",Finland,"1000000 - 1249999",0,5,10,2017-05-24
"TOPTICA Photonics AG",Germany,"1000000 - 1249999",0,14,0,2016-09-01
"TYVAK INTERNATIONAL SRL",Italy,"1000000 - 1249999",0,21,0,2017-03-29
"Takeda Pharmaceuticals International GmbH",Switzerland,"1000000 - 1249999",0,1.75,1,2015-09-17
"The Coca-Cola Company","United States","1000000 - 1249999",0,2.5,12,2009-04-23
"The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association",Belgium,"1000000 - 1249999",2,4,21,2011-09-14
"The German Marshall Fund of the United States - The Transatlantic Foundation",Belgium,"1000000 - 1249999",1,14.75,20,2015-11-27
"The Pew Charitable Trusts","United States","1000000 - 1249999",3,31,43,2011-10-21
"The R&A","United Kingdom","1000000 - 1249999",0,0.75,0,2017-01-09
"The Regulatory Assistance Project","United States","1000000 - 1249999",0,8.5,2,2012-12-06
"United Cities and Local Governments - Asia Pacific",Indonesia,"1000000 - 1249999",0,14.75,0,2018-06-18
"Universidade do Porto",Portugal,"1000000 - 1249999",0,6.25,2,2017-05-17
