"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"European Cyclists' Federation",Belgium,"1750000 - 1999999",1,15,17,2011-04-27
"FTI Consulting Belgium","United States","1750000 - 1999999",35,35,54,2010-04-01
GlaxoSmithKline,"United Kingdom","1750000 - 1999999",5,4.75,11,2009-01-06
HERE,Netherlands,"1750000 - 1999999",0,0.5,2,2016-10-10
"HSBC Holdings PLC","United Kingdom","1750000 - 1999999",6,3.5,47,2014-11-27
"Hume Brophy",Ireland,"1750000 - 1999999",16,18,28,2009-01-07
"Johnson & Johnson","United States","1750000 - 1999999",15,4.25,10,2009-03-06
"Managed Funds Association","United States","1750000 - 1999999",0,3,23,2014-12-05
"Novartis International AG",Switzerland,"1750000 - 1999999",5,5.25,22,2009-04-27
PlasticsEurope,Belgium,"1750000 - 1999999",8,8,19,2013-09-24
"Public Institution Lithuanian Agricultural Advisory Service",Lithuania,"1750000 - 1999999",0,0.75,0,2016-10-27
"REIMS METROPOLE",France,"1750000 - 1999999",0,0.25,0,2016-06-30
"Terre des Hommes International Federation",Switzerland,"1750000 - 1999999",0,5.5,4,2015-04-22
"Vesdo AG",Switzerland,"1750000 - 1999999",0,12,0,2016-08-12
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15.25,36,2010-01-07
"Bayer AG",Germany,1989000,7,13.5,38,2008-12-17
"Cités et Gouvernements Locaux Unis d'Afrique",Morocco,1896489,0,1.25,0,2016-10-30
"African Women's Development and Communication Network",Kenya,1891957,0,3,0,2016-12-13
DIGITALEUROPE,Belgium,1850000,12,9.75,153,2011-10-26
"Deutscher Sparkassen-und Giroverband",Germany,1800000,5,10,39,2011-01-06
"Unión Nacional de Instituciones para el Trabajo de Acción Social",Bolivia,1767555,0,25,0,2016-11-11
"Allianz SE",Germany,"1500000 - 1749000",4,5.5,19,2009-07-03
"Amazon Europe Core SARL",Luxembourg,"1500000 - 1749000",7,5,85,2014-09-15
ArcelorMittal,Luxembourg,"1500000 - 1749000",3,4,84,2009-06-10
"Association of British Insurers","United Kingdom","1500000 - 1749000",2,5.25,4,2008-06-26
"Associazione Bancaria Italiana",Italy,"1500000 - 1749000",3,6.75,21,2013-07-12
"British American Tobacco","United Kingdom","1500000 - 1749000",6,2.5,2,2009-01-21
"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",Germany,"1500000 - 1749000",1,12,16,2011-09-05
"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",Germany,"1500000 - 1749000",6,14,47,2008-12-01
"Covington & Burling LLP","United States","1500000 - 1749000",7,7.75,11,2015-05-15
Diageo,"United Kingdom","1500000 - 1749000",2,4.25,18,2011-04-19
"European Federation of Food, Agriculture and Tourism Trade Unions",Belgium,"1500000 - 1749000",6,11.25,27,2009-02-03
"IBM Corporation","United States","1500000 - 1749000",4,6,115,2009-01-08
"International Crisis Group",Belgium,"1500000 - 1749000",0,10.25,12,2009-05-10
Konrad-Adenauer-Stiftung,Germany,"1500000 - 1749000",7,14,12,2008-08-20
"LVMH Publica",Belgium,"1500000 - 1749000",3,2.5,33,2009-09-22
"POLYECO SA",Greece,"1500000 - 1749000",0,3.5,0,2016-11-30
"Svenska Naturskyddsföreningen",Sweden,"1500000 - 1749000",0,2.5,1,2016-03-08
