"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Deutscher Sparkassen-und Giroverband",Germany,1800000,4,10,39,2011-01-06
Merck,Germany,1750699,3,1.75,4,2009-07-28
"ACTION EUROPE",Belgium,"1500000 - 1749000",0,3.75,0,2014-11-19
"Airbus Group SE",Netherlands,"1500000 - 1749000",8,4.75,202,2008-11-26
"Allianz SE",Germany,"1500000 - 1749000",6,5.5,19,2009-07-03
ArcelorMittal,Luxembourg,"1500000 - 1749000",4,5.25,84,2009-06-10
"Associazione Bancaria Italiana",Italy,"1500000 - 1749000",8,6.75,21,2013-07-12
Barncancerfonden,Sweden,"1500000 - 1749000",0,1,0,2017-03-12
"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",Germany,"1500000 - 1749000",1,12,16,2011-09-05
"Credit Suisse Group AG",Switzerland,"1500000 - 1749000",0,1.75,8,2015-04-28
GlaxoSmithKline,"United Kingdom","1500000 - 1749000",6,5.25,11,2009-01-06
"HSBC Holdings PLC","United Kingdom","1500000 - 1749000",3,4,47,2014-11-27
Konrad-Adenauer-Stiftung,Germany,"1500000 - 1749000",4,14,13,2017-05-24
"Open Society European Policy Institute",Belgium,"1500000 - 1749000",12,19,61,2008-08-21
"Rolls-Royce plc","United Kingdom","1500000 - 1749000",2,3.5,21,2010-01-26
"Syngenta International AG",Switzerland,"1500000 - 1749000",4,2.5,18,2009-09-25
customs4trade,Belgium,"1500000 - 1749000",0,5.5,0,2015-02-10
"Deutsche Post DHL Group",Germany,1741000,9,8,20,2011-01-27
"Deutsche Telekom",Germany,1680000,6,8,114,2009-11-06
"Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl",Belgium,1623893,1,15,114,2009-02-20
"South Denmark European office",Denmark,1609591,0,10,0,2017-10-11
Concawe,Belgium,1600000,0,8,2,2011-07-26
"EUROCHAMBRES – Association of European Chambers of Commerce and Industry",Belgium,1550000,6,18.5,71,2008-12-04
"Syndicat national des entreprises artistiques et culturelles",France,1500000,0,9.75,0,2010-07-29
"Zentralverband des Deutschen Handwerks e.V.",Germany,1500000,8,14,57,2008-12-15
"ARCTURUS GROUP",Belgium,"1250000 - 1499999",11,15,14,2011-09-16
"Amgen Inc","United States","1250000 - 1499999",4,4.25,1,2011-02-07
"Association of British Insurers","United Kingdom","1250000 - 1499999",0,2,4,2008-06-26
"Bank of America Merrill Lynch","United Kingdom","1250000 - 1499999",2,2.75,33,2011-01-19
"Bayerische Motoren Werke Aktiengesellschaft",Germany,"1250000 - 1499999",4,5.5,52,2008-12-17
BlackRock,"United States","1250000 - 1499999",0,2.75,35,2010-11-09
COGEA,Italy,"1250000 - 1499999",0,14,0,2015-01-19
