"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"UNESCO Centre BVI","British Virgin Islands","800000 - 900000",0,,0,2011-11-07
"BT Group plc","United Kingdom","800000 - 850000",0,,49,2010-08-30
"CONCORD: European NGO confederation for Relief and Development",Belgium,"800000 - 850000",0,,0,2009-04-22
"Euro Keys",Belgium,840000,0,,0,2011-02-07
"HOTREC, Hotels, Restaurants & Cafés in Europe",Belgium,800000,0,,11,2009-01-08
"Alber & Geiger",Germany,"700000 - 800000",0,,7,2011-09-19
"Asociación Española de Fitosanitarios y Sanidad Ambiental",Spain,"750000 - 800000",0,,0,2011-10-05
"Bayerische Motoren Werke Aktiengesellschaft",Germany,"700000 - 800000",0,,52,2008-12-17
"Corporate & Public Strategy Advisory Group",Belgium,"700000 - 800000",0,,0,2011-10-12
"European Round Table of Industrialists",Belgium,"700000 - 800000",0,,93,2012-01-24
"European Seed Association",Belgium,"750000 - 800000",0,,0,2009-07-21
"Hitachi Corporate Office, Europe",Japan,"750000 - 800000",0,,11,2009-04-24
"House of the Dutch Provinces",Belgium,"700000 - 800000",0,,3,2010-11-05
"Lear, laboratorio di economia, antitrust e regolamentazione",Italy,"700000 - 800000",0,,2,2010-02-17
"Policy Action Ltd","United Kingdom","700000 - 800000",0,,0,2011-01-06
"Statoil ASA",Norway,"700000 - 800000",0,,51,2009-01-19
"Volkswagen Aktiengesellschaft",Germany,"700000 - 800000",0,,77,2009-01-15
"France Telecom SA",France,750000,0,,76,2009-12-07
"Danfoss A/S",Denmark,"700000 - 750000",0,,0,2009-07-02
"European Social Network","United Kingdom","700000 - 750000",0,,7,2009-04-14
"E-EUROCONSULTING SRL",Belgium,708651,0,,0,2011-10-25
"BP p.l.c.","United Kingdom","600000 - 700000",0,,43,2008-11-14
"Bundesverband deutscher Banken e.V.",Germany,"600000 - 700000",0,,51,2008-09-05
"Caribbean Research and Management of Biodiversity","Netherlands Antilles","600000 - 700000",0,,0,2012-02-02
"EUROPE FOR BUSINESS LTD","United Kingdom","600000 - 700000",0,,0,2011-12-16
"European Association of Research and Technology Organisations",Belgium,"650000 - 700000",0,,27,2011-09-13
"European Environmental Bureau",Belgium,"600000 - 700000",0,,101,2009-03-06
"Groupement Européen des Sociétés d'Auteurs et Compositeurs",Belgium,"600000 - 700000",0,,46,2010-11-05
